model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,bollingerband,selectkbest,500,3,0.519,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,4,0.519,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,5,0.519,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,1,0.514,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,2,0.514,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,3,0.514,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,4,0.514,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,5,0.514,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,1,0.521,7,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,2,0.521,7,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,3,0.521,7,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,4,0.521,7,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,5,0.521,7,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,1,0.516,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,2,0.516,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,3,0.516,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,4,0.516,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,5,0.516,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,1,0.515,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,2,0.515,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,3,0.515,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,4,0.515,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,5,0.515,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,1,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,2,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,3,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,4,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
